0,1,2
1903.3829,21122.49,38.99118
1903.4045,21122.486,38.990284
1903.4282,21122.48,38.990547
1903.4515,21122.477,38.99121
1903.4749,21122.47,38.991467
1903.4945,21122.467,38.99006
1903.5162,21122.463,38.99009
1903.5383,21122.457,38.99003
1903.5615,21122.453,38.99067
1903.5822,21122.45,38.99037
1903.6027,21122.443,38.989864
1903.6265,21122.44,38.99095
1903.6476,21122.434,38.990967
1903.6677,21122.43,38.99073
1903.6886,21122.426,38.990734
1903.7064,21122.422,38.989025
1903.7281,21122.418,38.990093
1903.7476,21122.414,38.989437
1903.7673,21122.408,38.98912
1903.788,21122.404,38.98977
1903.8074,21122.4,38.989487
1903.8271,21122.396,38.98938
1903.8475,21122.393,38.99014
1903.8684,21122.387,38.99098
1903.8864,21122.383,38.990086
1903.9045,21122.379,38.98988
1903.9252,21122.375,38.99075
1903.942,21122.371,38.989548
1903.9598,21122.367,38.98888
1903.9799,21122.363,38.990116
1903.9976,21122.36,38.989544
1904.0149,21122.355,38.98891
1904.0321,21122.352,38.988598
1904.0505,21122.348,38.988766
1904.0686,21122.344,38.98872
1904.083,21122.342,38.987007
1904.103,21122.338,38.98836
1904.1187,21122.334,38.987114
1904.1356,21122.33,38.987114
1904.1533,21122.326,38.987247
1904.169,21122.322,38.98618
1904.184,21122.32,38.98518
1904.2018,21122.316,38.985664
1904.2201,21122.312,38.98648
1904.2329,21122.309,38.983925
1904.253,21122.305,38.986477
1904.2675,21122.303,38.985104
1904.2826,21122.299,38.984165
1904.2983,21122.295,38.984108
1904.314,21122.291,38.983692
1904.329,21122.29,38.98295
1904.3451,21122.285,38.983315
1904.361,21122.281,38.983185
1904.3762,21122.28,38.982727
1904.3895,21122.275,38.98155
1904.4061,21122.271,38.982166
1904.4185,21122.27,38.979935
1904.4359,21122.266,38.98123
1904.4482,21122.264,38.97951
1904.4652,21122.26,38.980644
1904.4786,21122.256,38.979454
1904.4934,21122.254,38.979595
1904.5099,21122.25,38.980625
1904.5208,21122.248,38.97777
1904.5392,21122.244,38.980724
1904.5522,21122.24,38.979553
1904.5669,21122.238,38.97949
1904.5815,21122.234,38.979946
1904.5966,21122.232,38.9803
1904.6095,21122.229,38.979305
1904.6204,21122.227,38.977146
1904.6365,21122.223,38.978546
1904.6486,21122.22,38.97709
1904.6595,21122.219,38.974796
1904.6763,21122.215,38.977203
1904.6902,21122.21,38.97725
1904.7031,21122.209,38.976547
1904.7164,21122.205,38.97661
1904.728,21122.203,38.97513
1904.74,21122.201,38.97384
1904.7527,21122.197,38.973587
1904.7645,21122.195,38.972404
1904.7767,21122.193,38.971546
1904.7885,21122.19,38.970673
1904.7992,21122.188,38.96886
1904.8136,21122.186,38.969772
1904.8241,21122.184,38.968132
1904.835,21122.18,38.96642
1904.8489,21122.178,38.96719
1904.8612,21122.174,38.966763
1904.8715,21122.172,38.96514
1904.8846,21122.17,38.96542
1904.8969,21122.168,38.965183
1904.9078,21122.164,38.964252
1904.9196,21122.162,38.963615
1904.93,21122.16,38.96189
1904.9427,21122.158,38.962482
1904.9542,21122.154,38.961773
1904.966,21122.152,38.961277
1904.9751,21122.15,38.959206
1904.9875,21122.148,38.9594
1905.0005,21122.145,38.96015
1905.0105,21122.143,38.95878
1905.0228,21122.14,38.95914
1905.0363,21122.137,38.960308
1905.0466,21122.135,38.959564
1905.0581,21122.133,38.959217
1905.0684,21122.13,38.95798
1905.0795,21122.129,38.95739
1905.0916,21122.125,38.958225
1905.1024,21122.123,38.95757
1905.1117,21122.121,38.95567
1905.1221,21122.12,38.955135
1905.1324,21122.117,38.95426
1905.1418,21122.115,38.952423
1905.1534,21122.111,38.953163
1905.1631,21122.11,38.95175
1905.1724,21122.107,38.950027
1905.1838,21122.105,38.95073
1905.1923,21122.104,38.948204
1905.2032,21122.102,38.94827
1905.2124,21122.1,38.946865
1905.2233,21122.098,38.94682
1905.2312,21122.096,38.944096
1905.2421,21122.094,38.944138
1905.2509,21122.092,38.942684
1905.2587,21122.09,38.939896
1905.2708,21122.086,38.94118
1905.2802,21122.084,38.94038
1905.2896,21122.082,38.939167
1905.3003,21122.08,38.93943
1905.309,21122.078,38.938007
1905.3181,21122.076,38.936733
1905.3278,21122.074,38.936073
1905.3372,21122.072,38.935368
1905.3463,21122.07,38.934254
1905.3555,21122.068,38.933086
1905.3658,21122.066,38.933224
1905.3754,21122.064,38.932835
1905.3851,21122.062,38.932552
1905.3916,21122.06,38.928898
1905.4025,21122.059,38.930073
1905.4116,21122.057,38.929085
1905.4207,21122.055,38.928177
1905.4298,21122.053,38.927647
1905.4384,21122.05,38.92624
1905.4465,21122.049,38.924538
1905.4554,21122.047,38.92393
1905.4603,21122.045,38.918903
1905.4684,21122.045,38.917076
1905.4736,21122.043,38.91281
1905.476,21122.043,38.90518
1905.4775,21122.041,38.89679
1905.4775,21122.041,38.88659
1905.4866,21122.04,38.885323
1905.4948,21122.037,38.884586
1905.5029,21122.035,38.88311
1905.513,21122.033,38.88395
1905.5209,21122.031,38.882137
1905.5311,21122.03,38.88284
1905.5403,21122.027,38.881927
1905.5504,21122.025,38.883514
1905.5604,21122.023,38.884193
1905.5701,21122.021,38.884876
1905.578,21122.02,38.883396
1905.5874,21122.018,38.883392
1905.5983,21122.016,38.885452
1905.6063,21122.014,38.8843
1905.6161,21122.012,38.88491
1905.6262,21122.01,38.886387
1905.6377,21122.008,38.888916
1905.6467,21122.006,38.889004
1905.656,21122.004,38.889194
1905.6652,21122.002,38.889824
1905.674,21122.0,38.889557
1905.6829,21121.998,38.889503
1905.6927,21121.996,38.89094
1905.7015,21121.994,38.890987
1905.7108,21121.992,38.89159
1905.7186,21121.99,38.890686
1905.727,21121.988,38.890408
1905.737,21121.986,38.891834
1905.747,21121.984,38.89369
1905.7549,21121.982,38.892696
1905.7653,21121.98,38.89484
1905.773,21121.979,38.894054
1905.78,21121.977,38.89246
1905.7875,21121.975,38.89098
1905.7982,21121.973,38.89385
1905.807,21121.97,38.894497
1905.8135,21121.97,38.8922
1905.824,21121.969,38.894684
1905.8347,21121.965,38.898006
1905.8406,21121.965,38.894955
1905.8499,21121.963,38.896217
1905.8573,21121.96,38.895546
1905.8646,21121.959,38.894325
1905.8739,21121.957,38.89567
1905.8833,21121.955,38.897552
1905.8892,21121.953,38.894676
1905.8994,21121.951,38.89724
1905.9083,21121.95,38.89833
1905.9138,21121.95,38.89542
1905.9215,21121.947,38.89499
1905.9323,21121.945,38.898804
1905.944,21121.943,38.90375
1905.9517,21121.941,38.903355
1905.9587,21121.94,38.902428
1905.9685,21121.938,38.905186
1905.9775,21121.936,38.906685
1905.986,21121.934,38.907383
1905.9926,21121.932,38.90627
1906.0006,21121.932,38.906654
1906.008,21121.93,38.906227
1906.0175,21121.928,38.908802
1906.0266,21121.926,38.910828
1906.0326,21121.924,38.9085
1906.0416,21121.922,38.910393
1906.0509,21121.92,38.913067
1906.0592,21121.918,38.91397
1906.0637,21121.918,38.91026
1906.0752,21121.916,38.915672
1906.0776,21121.914,38.90861
1906.0884,21121.912,38.91306
1906.0966,21121.91,38.91449
1906.1051,21121.908,38.91596
1906.1128,21121.908,38.91648
1906.1201,21121.906,38.91674
1906.1277,21121.904,38.91707
1906.1348,21121.902,38.916634
1906.1437,21121.9,38.91907
1906.151,21121.898,38.91943
1906.1573,21121.898,38.917976
1906.165,21121.896,38.918667
1906.1731,21121.895,38.92028
1906.1798,21121.893,38.919575
1906.1865,21121.893,38.918816
1906.1958,21121.89,38.92243
1906.2014,21121.889,38.920055
1906.21,21121.887,38.922325
1906.2174,21121.885,38.92326
1906.2251,21121.885,38.924118
1906.2314,21121.883,38.92308
1906.2358,21121.88,38.9193
1906.2452,21121.879,38.923122
1906.2517,21121.879,38.92217
1906.26,21121.877,38.924717
1906.2662,21121.875,38.923565
1906.2744,21121.873,38.925636
1906.2802,21121.873,38.924
1906.2891,21121.871,38.927395
1906.2957,21121.87,38.92672
1906.3013,21121.867,38.924873
1906.3098,21121.865,38.927967
1906.3169,21121.865,38.928482
1906.324,21121.863,38.928734
1906.3289,21121.861,38.92622
1906.3356,21121.861,38.9261
1906.3425,21121.86,38.92648
1906.3491,21121.857,38.92674
1906.3568,21121.855,38.928192
1906.3651,21121.854,38.93097
1906.3721,21121.854,38.931923
1906.3776,21121.852,38.93004
1906.3827,21121.852,38.92726
1906.3909,21121.85,38.93014
1906.3978,21121.848,38.930946
1906.4043,21121.846,38.931076
1906.4111,21121.846,38.931366
1906.418,21121.844,38.932293
1906.4243,21121.842,38.931973
1906.4308,21121.84,38.931957
1906.4381,21121.84,38.933746
1906.4446,21121.838,38.933754
1906.4509,21121.836,38.933533
1906.4567,21121.836,38.9328
1906.4641,21121.834,38.934593
1906.4708,21121.832,38.93508
1906.4758,21121.832,38.933094
1906.4829,21121.83,38.934265
1906.4894,21121.828,38.93462
1906.4961,21121.826,38.935165
1906.5021,21121.826,38.93501
1906.5071,21121.824,38.932487
1906.5156,21121.822,38.93667
1906.5214,21121.822,38.93606
1906.5264,21121.82,38.93367
1906.5334,21121.818,38.935196
1906.5404,21121.818,38.937122
1906.5464,21121.816,38.937862
1906.5526,21121.814,38.936558
1906.5576,21121.814,38.93474
1906.563,21121.812,38.933052
1906.5713,21121.81,38.93718
1906.5774,21121.81,38.937614
1906.5841,21121.809,38.938908
1906.5886,21121.807,38.935474
1906.5952,21121.807,38.93689
1906.6008,21121.805,38.93708
1906.6088,21121.803,38.939774
1906.6155,21121.803,38.940872
1906.6205,21121.8,38.939217
1906.6266,21121.799,38.93923
1906.6322,21121.799,38.938408
1906.6393,21121.797,38.941032
1906.6448,21121.795,38.94001
1906.6508,21121.795,38.940105
1906.6576,21121.793,38.942345
1906.662,21121.793,38.938873
1906.6688,21121.791,38.940826
1906.6754,21121.79,38.941544
1906.6809,21121.79,38.941715
1906.6869,21121.787,38.941936
1906.692,21121.785,38.94007
1906.6989,21121.785,38.942696
1906.7019,21121.783,38.936306
1906.7094,21121.783,38.940018
1906.716,21121.781,38.941944
1906.7233,21121.78,38.94523
1906.7279,21121.78,38.94231
1906.7334,21121.777,38.942284
1906.7395,21121.775,38.94284
1906.7456,21121.775,38.943657
1906.7518,21121.773,38.945026
1906.7563,21121.773,38.94196
1906.7637,21121.771,38.94582
1906.7684,21121.77,38.94323
1906.774,21121.77,38.943752
1906.7808,21121.768,38.94579
1906.7858,21121.766,38.944195
1906.7913,21121.766,38.944035
1906.7965,21121.764,38.943157
1906.8027,21121.764,38.944096
1906.8081,21121.762,38.94403
1906.8127,21121.76,38.9413
1906.8207,21121.76,38.9472
1906.8241,21121.758,38.94178
1906.8308,21121.758,38.944702
