356157171	28280291	34105
356156370	28279905	34253
356155627	28279819	34274
356154874	28279734	34238
356154107	28279644	34308
356153327	28279557	34226
356151769	28279377	34270
356151011	28279292	34186
356150223	28279202	34187
356149453	28279113	34203
356146328	28278753	34241
356143971	28278485	34148
356143192	28278397	34098
356142407	28278308	34048
356141625	28278220	34005
356140841	28278131	33944
356139222	28277941	34100
356138424	28277849	34108
356135960	28277552	34567
356135164	28277462	34534
356134353	28277367	34606
356133520	28277270	34651
356132715	28277177	34643
356131901	28277083	34673
356131069	28276987	34689
356130259	28276894	34683
356129443	28276800	34708
356128636	28276709	34621
356127821	28276616	34622
356126167	28276427	34599
356125352	28276334	34571
356123682	28276141	34606
356122861	28276047	34573
356122038	28275954	34533
356121227	28275866	34358
356120370	28275766	34405
356119539	28275669	34448
356117875	28275479	34436
356117025	28275383	34361
356116196	28275290	34307
356115359	28275195	34265
356114522	28275098	34280
356113660	28274999	34281
356112822	28274903	34254
356111128	28274706	34356
356110264	28274608	34310
356109432	28274516	34167
356108583	28274419	34167
356107743	28274325	34068
356106895	28274230	34013
356106034	28274134	33882
356105182	28274038	33847
356104331	28273940	33831
356103459	28273841	33783
356102605	28273744	33775
356101748	28273646	33736
356100887	28273546	33785
356100029	28273448	33747
356098281	28273246	33815
356097420	28273146	33822
356096536	28273046	33773
356093927	28272739	34013
356093049	28272635	34136
356091276	28272424	34363
356090404	28272323	34394
356089504	28272216	34525
356088631	28272114	34563
356086873	28271907	34742
356086001	28271809	34683
356085100	28271705	34685
356084219	28271599	34834
356083339	28271498	34857
356082430	28271390	34968
356081546	28271285	35074
356080682	28271194	34807
356079806	28271097	34677
356078927	28270998	34592
356078023	28270893	34631
356077142	28270793	34603
356076266	28270697	34452
356075395	28270605	34169
356074513	28270505	34125
356073604	28270400	34118
356072716	28270298	34149
356071827	28270193	34219
356070911	28270087	34264
356070023	28269986	34217
356069133	28269883	34226
356068243	28269781	34224
356066431	28269569	34345
356065541	28269469	34289
356064648	28269369	34177
356063754	28269267	34172
356062836	28269162	34136
356061940	28269057	34201
356061037	28268950	34323
356060139	28268845	34377
356059221	28268737	34456
356058325	28268637	34361
356057431	28268535	34324
356056527	28268428	34450
356054703	28268214	34596
356053805	28268115	34437
356052905	28268010	34490
356052005	28267906	34501
356051082	28267803	34424
356050176	28267692	34636
356049272	28267590	34561
356048352	28267487	34487
356047446	28267383	34476
356046543	28267279	34497
356045642	28267178	34413
356044719	28267077	34235
356043822	28266977	34121
356042918	28266874	34077
356042011	28266770	34070
356041085	28266663	34095
356040177	28266562	33997
356039276	28266460	33943
356038365	28266355	33933
356037459	28266253	33880
356036529	28266143	33978
356035620	28266036	34052
356033783	28265821	34177
356031972	28265621	33917
356031063	28265515	33970
356030158	28265407	34086
356029228	28265296	34233
356028318	28265194	34138
356027414	28265093	34038
356026482	28264989	33938
356025574	28264882	34032
356024661	28264779	33978
356023753	28264674	33992
356022844	28264575	33808
356021914	28264469	33781
356021003	28264364	33779
356020096	28264258	33834
356019166	28264149	33891
356018257	28264047	33804
356017353	28263940	33930
356016440	28263836	33889
356015534	28263731	33923
356014602	28263620	34039
356013695	28263516	34056
356010948	28263188	34461
356010041	28263078	34656
356009136	28262970	34777
356008229	28262865	34804
356007302	28262755	34920
356006399	28262650	34987
356005491	28262545	34998
356004583	28262438	35079
356003658	28262330	35148
356002754	28262224	35224
356000008	28261912	34950
355999102	28261810	34854
355997284	28261603	34689
355996358	28261495	34658
355995451	28261391	34615
355994550	28261285	34648
355993642	28261183	34512
355991812	28260973	34413
355990908	28260869	34355
355990003	28260765	34304
355989078	28260658	34279
355988187	28260545	34585
355987286	28260441	34555
355984540	28260135	34088
355982745	28259921	34228
355981821	28259816	34128
355980922	28259715	34028
355980025	28259609	34066
355979134	28259500	34223
355978241	28259395	34275
355977328	28259285	34397
355973723	28258881	33834
355972803	28258777	33735
355971910	28258673	33735
355971012	28258572	33612
355970098	28258466	33590
355969206	28258361	33618
355968321	28258254	33746
355967434	28258149	33788
355966538	28258049	33661
355965631	28257942	33686
355964744	28257839	33686
355962962	28257626	33858
355962078	28257523	33872
355961202	28257417	34006
355959454	28257205	34281
355958559	28257096	34424
355956794	28256893	34335
355955012	28256688	34250
355954143	28256584	34333
355953259	28256484	34254
355952388	28256382	34244
355951497	28256277	34311
355950617	28256177	34222
355949752	28256073	34307
355948854	28255971	34221
355947983	28255870	34202
355947119	28255766	34308
355946257	28255664	34359
355945398	28255561	34485
355944507	28255459	34420
355943654	28255355	34579
355942792	28255254	34595
355941906	28255151	34575
355941046	28255050	34599
355940189	28254949	34629
355939328	28254850	34591
355938465	28254751	34535
355937587	28254650	34512
355936730	28254550	34495
355935010	28254355	34337
